animeID,name,scored
176,Sen to Chihiro no Kamikakushi,8.92
177,Tenshi na Konamaiki,7.56
178,Video Girl Ai,7.28
179,Wolf&#039;s Rain,7.9
180,Words Worth,6.86
181,Yumeria,6.21
182,Samurai Champloo,8.5
183,Lodoss-tou Senki: Eiyuu Kishi Den,7.22
184,Lodoss-tou Senki,7.52
185,R.O.D OVA,7.75
186,R.O.D the TV,7.61
187,Ranma ½,7.85
188,Pure Mail,6.34
189,Project A-Ko,6.99
190,Pia Carrot e Youkoso!! 2,6.31
191,Pia Carrot e Youkoso!! 2 DX,6.46
192,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,6
193,Shin Angel,6.39
194,Kidou Senkan Nadesico,7.59
195,Kidou Senkan Nadesico: The Prince of Darkness,6.86
196,Mezzo Forte,6.72
197,Dragon Ball,8.15
198,Dragon Ball GT,6.67
199,Elfen Lied,7.76
200,FLCL,8.07
201,Jigoku Shoujo,7.75
202,Ninin ga Shinobuden,7
203,Air Master,7.1
204,Asagiri no Miko,6.26
205,Cardcaptor Sakura,8.21
206,Daa! Daa! Daa!,7.78
207,Dan Doh!!,6.76
208,Detective Conan,8.26
209,E&#039;s Otherwise,6.71
210,Eureka Seven,8.15
211,Rekka no Honoo,7.42
212,Gankutsuou,8.21
213,Genshiken,7.72
214,Girls Bravo: First Season,6.61
215,Gravitation,7.2
216,Agatha Christie no Meitantei Poirot to Marple,6.94
217,Great Teacher Onizuka,8.74
218,Groove Adventure Rave,7.4
219,Harukanaru Toki no Naka de: Hachiyou Shou,7.15
220,Ichigo 100%,6.78
221,InuYasha,7.9
222,Kyou kara Maou!,7.84
223,Madlax,7.14
224,Jungle wa Itsumo Hare nochi Guu,7.94
225,Jungle wa Itsumo Hare nochi Guu Deluxe,7.92
226,Jungle wa Itsumo Hare nochi Guu Final,7.74
227,Hoshi no Koe,7.4
228,Hitsuji no Uta,6.37
229,Happy☆Lesson,6.72
230,Happy☆Lesson: Advance,6.93
231,Happy☆Lesson: The Final,6.92
232,Hajime no Ippo,8.8
233,Hajime no Ippo: Champion Road,8.37
234,Hajime no Ippo: Mashiba vs. Kimura,8.27
235,Gunparade March: Arata Naru Kougunka,6.9
236,Gungrave,7.94
237,Bleach,7.9
238,Hellsing,7.6
239,Gad Guard,6.77
240,Noir,7.38
241,Kiddy Grade,7.28
242,Love♥Love?,6
243,Mahoromatic: Automatic Maiden,7.26
244,Mahoromatic 2,7.25
245,Viewtiful Joe,6.86
246,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,7.23
247,Animal Yokochou,7.01
248,Akane Maniax,5.79
249,Angel Heart,7.35
250,Akage no Anne,7.75
251,Area 88 (TV),7.11
252,Argento Soma,6.88
253,B&#039;T X,7.14
254,Grappler Baki (TV),7.42
255,Bakuten Shoot Beyblade,6.8
256,Comic Party,6.65
257,Seikai no Monshou,7.79
258,D.C.S.S: Da Capo Second Season,7.1
259,Dear Boys,6.95
260,Di Gi Charat,6.82
261,Divergence Eve,6.02
262,Divergence Eve 2: Misaki Chronicles,6.36
263,Grenadier: Hohoemi no Senshi,6.8
264,.hack//Tasogare no Udewa Densetsu,6.7
265,.hack//Liminality,6.69
266,3x3 Eyes,6.91
267,Cinderella Boy,6.35
268,Mirai Shounen Conan,8.13
269,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,7.01
270,Aa! Megami-sama! Movie,7.63
271,Abenobashi Mahou☆Shoutengai,7.35
272,Kerokko Demetan,6.02
273,Zettai Shounen,7.01
274,Akahori Gedou Hour Rabuge,6.24
275,"Chiisana Obake Acchi, Kocchi, Socchi",6.15
276,Ace wo Nerae!,7.04
277,Ace wo Nerae!: Final Stage,6.52
278,Ace wo Nerae! (1979),6.88
279,Ace wo Nerae! 2,6.76
280,Xiao Qian,6.7
281,Nageki no Kenkou Yuuryouji,6.33
282,Final Fantasy VII: Advent Children,7.88
283,Hand Maid May,6.82
